86,ambucuy,menimbulkan selera karena warnanya kemerah-merahan spt manis (jambu air)
87,"ambul, ngambul",muncul dari dalam air
88,ambung,"mencium (bau, wangi)"
89,amburadul,rusak dan berantakan
90,amburatel,"mengenai beberapa benda atau orang (cat dsb), menjalar, tersiar"
91,"amen, ngamen","mencari nafkah dgn mempertontonkan keterampilan atau seni spt tari topeng, nyanyi"
92,ameng,"main, bermain-main"
93,amis cangkeng,makanan dr tepung beras dicampur gula dan air santan dibungkus daun pisang
94,amis cau,rambut tipis pd dahi gadis remaja
95,amis daging,"mudah ketularan penyakit (kudis, borok)"
96,"amis kopi, amis jambu",agak manis
97,"amis, amis-amis","manis, makanan yang rasanya serba manis (kue dsb)"
98,"amit, pamit","pamitan, permisi, minta diri, minta izin"
99,amlongan,becek karena air tergenang
100,"ampar, ngampar, ngamparkeun","hampar, menghamparkan, membentangkan (tikar dsb)"
101,"amparan, saampar samak","tikar, sebidang tidak terhalang oleh milik orang lain (tanah, sawah)"
102,ampeg,berat berisi
103,"ampet, ngampet","sengaja menyumbat (saluran air, got, dsb)"
104,"ampeuh, kaampeuh","tahan, tertahan"
105,"ampih, ngampih, ampih-ampih, ngampihan, ngampihkeun, pangampih","ke rumah atau kandang pd sore hari, membereskan kembali, menyimpan kembali pd tempatnya, menyimpan, memasukkan binatang ke kandang, saudara yg membantu di rumah tangga tapi sambil disekolahkan bahkan dicarikan pekerjaan"
106,"amprok, paamrok, diamprokkeun","bertemu, berjumpa, saling bertemu dgn tidak diduga-duga terlebih dahulu, sengaja dipertemukan (dijodohkan)"
107,"amprut, amprut-amprutan","berjalan jauh kadang-kadang tanpa melalui jalan yang biasa dilalui orang lain, memintas-mintas"
108,amrih,"maksud, niat hati"
109,"amuk, ngamuk",mengamuk
110,"amuk-amukan, pamuk","marah-marah kepada siapa saja yang ada spt orang yang mengamuk, orang yg paling gagah (kepala perang)"
111,"amung, mung, namung",hanya
112,ana,kalau
113,anca,"pelan, tidak keras"
114,ancak,"anyaman dari bambu yang jarang, tempat makanan utk sajen"
115,"ancal, ancal-ancalan",berjauhan kelompok atau bidang yang satu dgn yang lain
116,ancemon,"duduk bersimpuh, makanan terbuat dr parutan kasar ketela pohon yang dikukus serta diberi parutan kelapa"
117,"ancik, ngancik","diam menetap, tinggal menetap"
118,ancin,makan sedikit karena sakit atau kebiasaan
119,"anclang, nganclang",(be) pergi (an) jauh
120,anclom,kena kena atau masuk ke dalam air atu barang cair
121,"anclong, nganclong",pergi tanpa tujuan
122,"anco, ancoan","sedang, cadangan"
123,ancrub,turun ke dalam air
124,"ancrud, ngancrud",sering bepergian sambil melakukan hal-hal yang tidak baik
125,"ancul, ngancul","lonjak, melonjak, melambung"
126,"ancun, ngancunan","ucapan utk permalukan lawan (dipakai anak-anak ketikata bermain), mempermalukan"
127,ancur,hancur
128,"andar, ngandar, ngandar hutang, aya andar","menyeret (karena merasa berat), berat dan lama menangung hutang, tdk umum (tidak biasa)"
129,"andarawang, andarawang-andareweng","keras kepala, membawa kehendak sendiri"
130,"andeg, diandeg",ditahan tklak bolehpulang
131,andegleng,duduk ditempat yang lebih tinggi dr orang lain
132,andekak,duduk sila dilebarkan
133,andel,andal
134,andelan,mudah percaya
135,andel-andeleun,menyebabkan kurangnya kepercayaan sehhingga orang yang menyuruh kesal
136,andeprok,duduk bersimpuh rapat tanpa alas
137,"andih,ngandih",merebut tempat atau jabatan orang lain
138,andihi,"tambun, sangat gemuk"
139,andika,kamu
140,"andir, undar-andir","bumbung kecil, penggulung benang tenun, petugas pengurus jalan"
141,andon,ikhlas
142,andum,"membagi, memberi"
143,"andum salam, andum pidua","memberi doa selamat, ikut mendoakan"
144,angar,"tandus, gersang"
145,"angas, gangas, hukuman angas","kejam, hukuman berat tanpa prikemanusiaan"
146,angel,bantal
147,angen,hulu hati
148,angeun,sayur
149,anggah-ungguh,tata krama
150,"anggal, anggalan","sebelum, awal, sebelumnya"
151,"anggana, anggana sekar","sendiri, menyanyi sendiri"
152,anggang,"renggang, jauh, jarak"
153,anggaresol,"tidak rata (pinggirannya), tidak lurus (barisannya)"
154,"angger, anggeran","tidak berubah (tetap), terus-menerus (tidak berhenti-henti), biasa, ukuran (kira-kira)"
155,"anggeuhan, teu kapianggeuhan","ditentukan, tdk bisa ditentukan"
156,anggeus,selesai
157,anggeus-anggeusan,habis-habisan
158,"anggit, nganggit, dianggit","mengarang puisi, mengubah lagu, diaransir, direka menjadi lebih bagus (karangan,lagu, dsb)"
159,angguklung,sombong
160,"anggut, nganggut-manggut","angguk, mengangguk tanda hormat"
161,anging,semata
162,angir,mencuci rambut
163,angkanan,"rencana, niat"
164,angkara,"marah, murka, serakah"
165,angkara murka,"sangat marah, sangat murka"
166,angkaribung,"banyak bawaannya, yang dilahirkan di tangsi"
167,angkat,berangkat
168,angkat junjung,mengerjakan sesuatu yang berat
169,"angken, ngangken","aku, menerima dan mengaku (mis kpd tamu)"
170,angkeng,pinggang
171,angker,"menyeramkan, menakutkan (tempat)"
172,angkeub,mendung (suasana awan yang mengandung hujan)
173,"angkeuh, angkeuhan","megah, kebanggaan"
174,angkeut,dagu
175,"angkir, nyangkir","panggil, memanggil, mengundang"
176,"angkleung, ngangkleung, angkleung-angkleungan","hanyut mengapung, terapung-apung dihanyutkan arus"
177,angkong,permainan judi tiga helai kartu bergambar manusia
178,"angkrak, ngangkrak",sangat marah sambil terus berkata-kata
179,"angkruk, ngangkruk",menongkrong
180,angkuh,"sombong, besar kepala"
181,"angles, ngangles","tidak mengaku, menolak"
182,"angluh, ngangluh",tampak tidak gembira karena sakit
183,angob,menguap (bila oiengantuk)
184,"angon atau ngangon, angonan, pangangon, pangangonan","mengembala, binatang yg digembala, pengembala (anak gembala), tempat menggembala"
185,angot,"lebih-lebih,apabila"
186,"angsar, nyangsar",terkulai menyentuh tanah seperti ekor kuda
187,"angseg, ngangseg","desak, maju, mendesak (menyerang dsb)"
188,"angsel, ngangsel","ganjal kecil, mengganjal dgn suatu ganjal yang kecil (spt mengganjal kaki meja)"
189,angseu,bau / cium
190,"angsit, ngangsitkeun","mempercepat, mengerjakan lebih cepat"
191,angson,"ngangson, memanaskan suasana"
192,"angsrod, ngangsrodkeun",mengangkat atau menarik ke atas (celana anak dlm gendongan dsb)
193,anjang sono,kunjungan karena kangen
194,"anjang, nganjang","bertemu, berkunjung"
195,anjang-anjangan,permainan anak
196,anjeucleu,duduk santai pd tempat yang agak tinggi
197,anjeun,"kamu, engkau, anda"
198,anjog,"sampai, tiba"
199,"anjrek, nganjerk, panganjrekan","tinggal sementara waktu di kampung atau di rumah orang lain, tempat yg biasa dipakai utk tinggal sementara"
200,"anjuk, nganjuk",menghutang
201,anom,muda
202,"antaparah, teu antaparah",tidak pikir dan ditanya lagi
203,antare,"tenang, tidak tergopoh-gopoh"
204,antawis,"antara, sela-sela"
205,"antay, ngantay",berleret memanjang ke belakang
206,"anteb, ngantebkeun","benar-benar, sungguh-sungguh, menekankan"
207,antek,akhir
208,anteng,"asyik, tenang"
209,"antero, seantero",seluruh
210,"anti, nganti","tunggu, menunggu"
